id,user_id,status,order_date,batched_at
2,3,completed,2025-10-02,2025-10-02 02:38:01.000000
3,94,completed,2025-10-04,2025-10-04 18:33:23.000000
5,64,completed,2025-10-05,2025-10-05 02:43:18.000000
4,50,completed,2025-10-05,2025-10-05 17:19:37.000000
6,54,completed,2025-10-07,2025-10-07 02:04:06.000000
7,88,completed,2025-10-09,2025-10-09 00:32:53.000000
9,53,completed,2025-10-12,2025-10-12 01:57:35.000000
11,99,completed,2025-10-14,2025-10-14 03:04:31.000000
10,7,completed,2025-10-14,2025-10-16 05:34:06.000000
12,59,completed,2025-10-15,2025-10-15 14:59:39.000000
13,84,completed,2025-10-17,2025-10-17 00:15:33.000000
15,25,completed,2025-10-17,2025-10-17 23:49:32.000000
17,71,completed,2025-10-18,2025-10-18 05:42:37.000000
16,39,completed,2025-10-18,2025-10-18 17:17:42.000000
19,54,completed,2025-10-22,2025-10-22 20:36:32.000000
21,71,completed,2025-10-23,2025-10-23 04:49:37.000000
20,20,completed,2025-10-23,2025-10-23 01:32:27.000000
22,86,completed,2025-10-24,2025-10-24 15:48:22.000000
24,3,completed,2025-10-27,2025-10-27 14:00:09.000000
25,51,completed,2025-10-28,2025-10-28 06:09:25.000000
26,32,completed,2025-10-28,2025-10-28 02:10:56.000000
27,94,completed,2025-10-29,2025-10-30 04:44:00.000000
28,8,completed,2025-10-29,2025-10-29 13:47:16.000000
29,57,completed,2025-10-31,2025-10-31 09:03:37.000000
30,69,completed,2025-11-02,2025-11-02 06:36:02.000000
31,16,completed,2025-11-02,2025-11-02 07:21:59.000000
32,28,completed,2025-11-04,2025-11-05 14:19:09.000000
33,42,completed,2025-11-04,2025-11-05 14:36:30.000000
34,38,completed,2025-11-06,2025-11-06 06:21:38.000000
35,80,completed,2025-11-08,2025-11-08 22:34:05.000000
38,51,completed,2025-11-10,2025-11-10 08:32:27.000000
37,1,completed,2025-11-10,2025-11-10 09:40:21.000000
36,85,completed,2025-11-10,2025-11-10 12:39:33.000000
39,26,completed,2025-11-11,2025-11-11 19:52:47.000000
40,33,completed,2025-11-13,2025-11-13 14:58:09.000000
41,99,completed,2025-11-14,2025-11-14 21:21:30.000000
42,92,completed,2025-11-16,2025-11-16 01:43:55.000000
44,66,completed,2025-11-17,2025-11-17 15:28:30.000000
45,22,completed,2025-11-17,2025-11-17 00:02:09.000000
43,31,completed,2025-11-17,2025-11-17 11:17:06.000000
46,6,completed,2025-11-19,2025-11-21 17:20:20.000000
47,50,completed,2025-11-20,2025-11-21 14:23:01.000000
49,35,completed,2025-11-21,2025-11-21 07:34:26.000000
48,27,completed,2025-11-21,2025-11-21 17:22:41.000000
50,51,completed,2025-11-23,2025-11-23 20:16:37.000000
51,71,completed,2025-11-24,2025-11-24 11:45:00.000000
54,54,completed,2025-11-26,2025-11-27 11:10:49.000000
53,34,completed,2025-11-26,2025-11-26 05:33:02.000000
55,18,completed,2025-11-27,2025-11-27 20:23:28.000000
56,79,completed,2025-11-28,2025-11-28 23:57:23.000000
57,93,completed,2025-12-01,2025-12-01 23:43:32.000000
58,22,completed,2025-12-01,2025-12-01 17:26:11.000000
59,30,completed,2025-12-02,2025-12-02 06:57:02.000000
60,12,completed,2025-12-03,2025-12-03 06:08:23.000000
61,63,completed,2025-12-03,2025-12-03 01:04:06.000000
62,57,completed,2025-12-05,2025-12-05 00:56:41.000000
63,70,completed,2025-12-06,2025-12-06 10:10:48.000000
64,13,completed,2025-12-07,2025-12-07 05:59:44.000000
65,26,completed,2025-12-08,2025-12-08 11:22:40.000000
66,36,completed,2025-12-10,2025-12-10 00:05:20.000000
69,3,completed,2025-12-11,2025-12-12 13:32:19.000000
68,53,completed,2025-12-11,2025-12-11 13:07:49.000000
67,79,completed,2025-12-11,2025-12-11 06:44:33.000000
70,8,completed,2025-12-12,2025-12-12 05:29:02.000000
73,19,completed,2025-12-16,2025-12-16 22:12:54.000000
75,69,completed,2025-12-18,2025-12-18 21:44:00.000000
76,25,completed,2025-12-20,2025-12-20 21:56:44.000000
86,68,placed,2025-12-26,2025-12-27 18:16:42.000000
84,70,placed,2025-12-26,2025-12-26 11:12:32.000000
87,46,placed,2025-12-27,2025-12-27 20:58:42.000000
89,21,placed,2025-12-28,2025-12-29 19:18:39.000000
91,47,placed,2025-12-31,2025-12-31 07:43:58.000000
92,84,placed,2026-01-02,2026-01-02 08:06:46.000000
93,66,placed,2026-01-03,2026-01-03 11:41:37.000000
94,63,placed,2026-01-03,2026-01-03 15:46:04.000000
95,27,placed,2026-01-04,2026-01-04 06:30:27.000000
96,90,placed,2026-01-06,2026-01-06 12:40:04.000000
97,89,placed,2026-01-07,2026-01-07 13:36:40.000000
98,41,placed,2026-01-07,2026-01-07 09:54:38.000000
99,85,placed,2026-01-09,2026-01-09 15:04:26.000000
23,22,return_pending,2025-10-26,2025-10-26 02:29:29.000000
