payment_id,order_id,payment_method,status,payment_amount
1,1,credit_card,success,10.0
2,2,credit_card,success,20.0
3,3,coupon,success,1.0
4,4,coupon,success,25.0
5,5,bank_transfer,fail,17.0
6,5,bank_transfer,success,17.0
7,6,credit_card,success,6.0
8,7,credit_card,success,16.0
9,8,credit_card,success,23.0
10,9,gift_card,success,23.0
11,9,bank_transfer,success,0.0
12,10,bank_transfer,success,26.0
13,11,credit_card,success,27.0
14,12,credit_card,success,1.0
15,13,credit_card,fail,5.0
16,13,bank_transfer,success,5.0
17,13,bank_transfer,success,14.0
18,14,bank_transfer,success,3.0
19,15,coupon,success,22.0
20,16,credit_card,success,10.0
21,17,bank_transfer,success,2.0
22,18,credit_card,success,5.0
23,18,credit_card,success,8.0
24,19,gift_card,success,6.0
25,20,bank_transfer,success,15.0
26,21,credit_card,success,12.0
27,22,bank_transfer,success,8.0
28,23,gift_card,fail,23.0
29,23,credit_card,success,23.0
30,24,coupon,success,26.0
31,25,bank_transfer,success,20.0
32,25,credit_card,success,22.0
33,25,coupon,success,16.0
34,26,credit_card,success,30.0
35,27,credit_card,success,23.0
36,28,bank_transfer,success,19.0
37,29,bank_transfer,success,12.0
38,30,credit_card,success,13.0
39,31,credit_card,success,12.0
40,32,credit_card,success,3.0
41,33,credit_card,success,22.0
42,34,bank_transfer,success,15.0
43,35,credit_card,success,29.0
44,36,bank_transfer,success,9.0
45,37,credit_card,success,23.0
46,38,credit_card,fail,15.0
47,38,credit_card,success,15.0
48,39,bank_transfer,success,8.0
49,40,credit_card,success,14.0
50,41,credit_card,success,17.0
51,42,coupon,success,17.0
52,43,gift_card,success,18.0
53,44,gift_card,success,11.0
54,45,bank_transfer,success,5.0
55,46,bank_transfer,success,8.0
56,47,credit_card,success,22.0
57,48,bank_transfer,success,3.0
58,49,bank_transfer,fail,6.0
59,49,credit_card,success,6.0
60,49,credit_card,success,9.0
61,50,credit_card,success,26.0
62,51,credit_card,success,29.0
63,51,credit_card,success,1.0
64,52,bank_transfer,success,15.0
65,53,credit_card,success,3.0
66,54,credit_card,success,18.0
67,54,bank_transfer,success,11.0
68,55,credit_card,success,29.0
69,56,credit_card,success,4.0
70,57,bank_transfer,success,2.0
71,58,coupon,fail,18.0
72,58,coupon,success,18.0
73,58,gift_card,success,6.0
74,59,gift_card,success,28.0
75,60,credit_card,success,4.0
76,61,bank_transfer,success,16.0
77,62,gift_card,success,14.0
78,63,credit_card,success,29.0
79,64,bank_transfer,success,26.0
80,65,credit_card,success,0.0
81,66,credit_card,success,28.0
82,67,bank_transfer,success,4.0
83,67,credit_card,success,19.0
84,68,credit_card,success,16.0
85,69,credit_card,success,19.0
86,70,credit_card,success,26.0
87,71,credit_card,success,5.0
88,72,credit_card,success,29.0
89,73,bank_transfer,success,3.0
90,74,credit_card,success,30.0
91,75,credit_card,success,19.0
92,76,coupon,success,2.0
93,77,credit_card,success,0.0
94,77,bank_transfer,success,19.0
95,78,bank_transfer,success,26.0
96,79,credit_card,success,18.0
97,79,credit_card,success,9.0
98,80,gift_card,success,3.0
99,81,coupon,success,2.0
100,82,credit_card,success,8.0
101,83,credit_card,success,1.0
102,84,bank_transfer,success,25.0
103,85,bank_transfer,success,17.0
104,86,coupon,success,23.0
105,87,gift_card,success,30.0
106,87,credit_card,success,26.0
107,88,credit_card,success,29.0
108,89,bank_transfer,success,22.0
109,90,bank_transfer,success,2.0
110,91,credit_card,success,19.0
111,92,bank_transfer,success,15.0
112,92,coupon,success,2.0
113,93,gift_card,success,26.0
114,94,gift_card,fail,7.0
115,94,coupon,success,7.0
116,95,coupon,success,24.0
117,96,gift_card,success,17.0
118,97,bank_transfer,success,14.0
119,98,bank_transfer,success,10.0
120,99,credit_card,success,24.0
