id,locatie_gegevens_cc,zenddatum__c,status,cust_id,invoicing_f_code_initialized_confirmed,cust_id_business_held_confirmed,ontvangstdatum,aanmaakdatum,locatie_gegevens_continent,vehicle_id,invoicing_f_code_paid_date_confirmed,z_list_price,wgtKg_123X,dimension_package_for_shipment,driver_id,invoicing_f_code_createddate_confirmed,invoicing_f_code_status,shipment_type_id,invoicing_f_code_initialized_unconfirmed,cust_id_business_held_hetoudesysteem
637,GB,1678665600000,Delivered,40573,5669,169,1678838400000,1677715200000,Europe,aba-0wfp2-fizwnd,1677974400000,29.98,14 99,10 x 11 x 138,C1-tk3ygetsueuf,1677801600000,Paid,2,5669.0,6-yomtp
877,CA,1681948800000,Delivered,12593,5909,480,1682035200000,1680393600000,North America,cad-4ynzb-gxupzn,1680566400000,92.18,46 09,10 x 21 x 110,B1-uqap0thbm8kq,1680480000000,Paid,2,5909.0,4-mmoti
71,IN,1690848000000,Delivered,47205,5103,210,1690848000000,1688515200000,Asia,cbc-tb9ic-fo6q4r,1689206400000,62.12,31 06,10 x 21 x 128,A1-5kviciks6iea,1688601600000,Paid,2,5103.0,6-nate1
870,IN,1677369600000,Delivered,81645,5902,94,1677456000000,1677110400000,Asia,cad-hz7ig-v8utxs,1677542400000,92.2,23 05,10 x 21 x 77,C1-tsvhxparqaho,1677110400000,Paid,1,5902.0,6-wzs9n
858,US,1688860800000,Delivered,81811,5890,758,1688947200000,1688515200000,North America,ccc-qxtxc-ucdsyf,1689033600000,97.36,24 34,10 x 22 x 115,C1-pjsqiszmj3ln,1688515200000,Paid,1,5890.0,7-bgkor
720,CA,1683763200000,Delivered,27614,5752,566,1683849600000,1683331200000,North America,aba-uwwzm-kgfxgr,1683676800000,11.84,2 96,10 x 28 x 115,B1-wxwbz7umlgps,1683331200000,Paid,1,5752.0,1-wvsea
153,JP,1700265600000,Created,13250,5185,206,1700352000000,1697587200000,Asia,ccc-2ioqb-f9mr6g,-9223372036855,44.0,22,10 x 28 x 80,B1-n2p8jarnebb8,1697587200000,Pending,2,5185.0,7-6f0fb
938,AU,1691539200000,Delivered,52058,5970,135,1691798400000,1691020800000,Australia,cdc-o4whr-hb6nhb,1691107200000,13.92,6 96,10 x 30 x 119,B1-wjpqfe6aph9u,1691107200000,Paid,2,5970.0,8-h3opx
864,US,1696723200000,Delivered,22420,5896,913,1697068800000,1695340800000,North America,cbc-m5re7-j6ptth,1695859200000,25.4,12 7,10 x 31 x 53,C1-hiqyf1c01jti,1695427200000,Paid,2,5896.0,9-l7pyu
381,JP,1682640000000,Delivered,13474,5413,816,1682812800000,1682035200000,Asia,ccc-rnhki-ikmx2b,1682208000000,97.76,24 44,10 x 33 x 103,A1-y5wkiaudmn3w,1682035200000,Paid,1,5413.0,6-qagwo
730,US,1691712000000,Delivered,36367,5762,134,1691884800000,1691280000000,North America,ccc-2ioqb-f9mr6g,1691712000000,75.86,37 93,10 x 33 x 71,C1-vrmgtcixyvlg,1691366400000,Paid,2,5762.0,2-qmld4
828,AU,1694390400000,Delivered,18743,5860,94,1694563200000,1694131200000,Australia,cad-b6lcw-wogwag,1694563200000,32.76,8 19,10 x 36 x 105,B1-wxwbz7umlgps,1694131200000,Paid,1,5860.0,6-wzs9n
816,US,1680307200000,Delivered,54073,5848,30,1680393600000,1680048000000,North America,cad-4xwww-bz3asf,1680307200000,199.28,49 82,10 x 36 x 65,B1-bxkjltfgog6k,1680048000000,Paid,1,5848.0,3-avmcr
710,GB,1693094400000,Delivered,88691,5742,960,1693267200000,1692835200000,Europe,cad-ntnhz-kuznqt,1693440000000,47.04,11 76,10 x 38 x 142,C1-d08ywijb4ocx,1692921600000,Paid,1,5742.0,1-xphul
659,IN,1691884800000,Delivered,83110,5691,383,1691971200000,1691539200000,Asia,cad-ep35l-gzwtgz,1691712000000,157.8,39 45,10 x 41 x 120,B1-wjpqfe6aph9u,1691625600000,Paid,1,5691.0,2-nige4
120,GB,1678320000000,Delivered,20706,5152,305,1678406400000,1677801600000,Europe,ccc-qywxb-uhfodz,1678060800000,99.4,49 7,10 x 44 x 72,C1-tsvhxparqaho,1677801600000,Paid,2,5152.0,0-crmvl
263,JP,1685404800000,Delivered,51052,5295,102,1685404800000,1685145600000,Asia,ccc-lbfyf-e6nq1j,1685232000000,117.0,29 25,10 x 45 x 115,B1-uqap0thbm8kq,1685145600000,Paid,1,5295.0,6-nd9xz
411,AU,1674604800000,Delivered,58628,5443,743,1674777600000,1673827200000,Australia,aba-tbnfr-viumwh,1673827200000,34.42,17 21,10 x 48 x 118,A1-r8gmvwxsfmam,1673827200000,Paid,2,5443.0,0-sz22b
307,GB,1678924800000,Delivered,72079,5339,927,1679356800000,1678320000000,Europe,aba-lnaex-dgo3ao,1678579200000,7.58,3 79,10 x 48 x 60,B1-uqap0thbm8kq,1678320000000,Paid,2,5339.0,2-ykptm
123,DE,1697328000000,Delivered,72676,5155,201,1697414400000,1696809600000,Europe,cbc-onb2v-dgclve,1697068800000,100.0,25,10 x 49 x 118,B1-bxkjltfgog6k,1696896000000,Paid,1,5155.0,0-ebhuk
159,GB,1694736000000,Delivered,13514,5191,835,1694736000000,1694390400000,Europe,ccc-s0bib-ihx3rh,1694390400000,176.2,44 05,10 x 5 x 126,C1-pjsqiszmj3ln,1694390400000,Paid,1,5191.0,3-7atcw
360,AU,1682899200000,Delivered,32951,5392,707,1682985600000,1682726400000,Australia,cbc-ke7dm-3myvkk,1683244800000,55.88,13 97,10 x 7 x 83,A1-5kviciks6iea,1682726400000,Paid,1,5392.0,7-1ncz0
86,IN,1678492800000,Delivered,58920,5118,360,1678752000000,1677024000000,Asia,cbc-e7r3p-v36x8d,1677283200000,86.58,43 29,10 x 8 x 116,B1-or1wyejvqlge,1677110400000,Paid,2,5118.0,6-fuyo9
847,FR,1689206400000,Delivered,52801,5879,712,1689206400000,1689033600000,Europe,cbc-m5re7-j6ptth,1689379200000,4.84,1 21,10 x 9 x 111,A1-fbazprbgr4hd,1689033600000,Paid,1,5879.0,7-iw20t
748,JP,1698278400000,Delivered,14275,5780,606,1698451200000,1697846400000,Asia,cbc-oqw2p-d3n5l9,-9223372036855,123.28,30 82,11 x 11 x 97,A1-nlprebisxlor,1697932800000,Pending,1,5780.0,9-c6seu
654,GB,1690588800000,Delivered,17374,5686,638,1690761600000,1689033600000,Europe,cad-b6lcw-wogwag,1689206400000,77.58,38 79,11 x 12 x 79,B1-wxwbz7umlgps,1689120000000,Paid,2,5686.0,9-l84g1
940,CA,1694908800000,Delivered,65508,5972,263,1694995200000,1694476800000,North America,ccc-eyqqx-dn2z0n,1694736000000,172.92,43 23,11 x 14 x 87,A1-h1mlz5zxzttx,1694476800000,Paid,1,5972.0,5-oolyo
848,DE,1678320000000,Delivered,51245,5880,886,1678320000000,1677801600000,Europe,ccc-2ioqb-f9mr6g,1677888000000,121.6,30 4,11 x 14 x 88,C1-d08ywijb4ocx,1677801600000,Paid,1,5880.0,0-l78jn
876,US,1691798400000,Delivered,39940,5908,122,1691884800000,1691452800000,North America,aba-wl1jd-otfy8g,1691539200000,179.48,44 87,11 x 20 x 118,B1-wjunhi3uz4xa,1691452800000,Paid,1,5908.0,4-5gw8n
48,IN,1683244800000,Delivered,55514,5080,361,1683331200000,1682985600000,Asia,aba-2kxl6-rtdcm6,1683072000000,128.28,32 07,11 x 21 x 74,C1-yvfxlbt8jejx,1683072000000,Paid,1,5080.0,4-r45ne
352,US,1683158400000,Delivered,37915,5384,710,1683504000000,1681171200000,North America,ccc-jaxuu-5osjey,1681689600000,78.68,39 34,11 x 23 x 64,C1-2nyqpxvfznas,1681171200000,Paid,2,5384.0,0-rdpye
122,JP,1698364800000,Delivered,72368,5154,501,1698451200000,1698105600000,Asia,cbc-xiufm-ladmww,-9223372036855,185.52,46 38,11 x 29 x 50,C1-bqvwg7ogabwg,1698192000000,Pending,1,5154.0,8-5otnw
712,JP,1680220800000,Delivered,67629,5744,685,1680307200000,1679875200000,Asia,ccc-tw4dl-ysjcfh,1680307200000,170.48,42 62,11 x 30 x 65,C1-bqvwg7ogabwg,1679961600000,Paid,1,5744.0,9-qyzbx
439,JP,1678752000000,Delivered,67269,5471,642,1679011200000,1677456000000,Asia,cad-c8mgo-ygw9hr,1677801600000,47.58,23 79,11 x 36 x 100,C1-xhs30xusw3qe,1677456000000,Paid,2,5471.0,1-onepo
248,DE,1686096000000,Delivered,71101,5280,209,1686096000000,1685491200000,Europe,ccc-f9uyx-drwyx0,1686096000000,80.04,20 01,11 x 36 x 68,A1-fbazprbgr4hd,1685491200000,Paid,1,5280.0,5-onuny
268,IN,1674086400000,Delivered,40303,5300,512,1674086400000,1673395200000,Asia,aba-7jlna-kw48wt,1673395200000,22.5,11 25,11 x 36 x 94,C1-2nyqpxvfznas,1673395200000,Paid,2,5300.0,4-asfwg
656,GB,1676332800000,Delivered,96844,5688,594,1676505600000,1676160000000,Europe,cbc-e7r3p-v36x8d,1676332800000,138.72,34 68,11 x 39 x 134,C1-qhp3tte5dphq,1676246400000,Paid,1,5688.0,8-rbekd
901,US,1694390400000,Delivered,19915,5933,371,1694390400000,1694044800000,North America,cbc-ggvc1-fhqqcg,1694044800000,51.28,12 82,11 x 41 x 137,B1-n2p8jarnebb8,1694044800000,Paid,1,5933.0,9-2vous
253,CA,1678233600000,Delivered,43566,5285,819,1678233600000,1677888000000,North America,cad-mxtis-wl55el,1678406400000,39.64,9 91,11 x 41 x 94,A1-nlprebisxlor,1677888000000,Paid,1,5285.0,1-98pyz
215,US,1678838400000,Delivered,45766,5247,30,1679011200000,1678579200000,North America,cbc-oqw2p-d3n5l9,1678838400000,83.16,20 79,11 x 42 x 61,C1-2nyqpxvfznas,1678579200000,Paid,1,5247.0,3-avmcr
555,JP,1691971200000,Delivered,95789,5587,731,1692057600000,1691107200000,Asia,cdc-zkavo-wfqbz0,1691452800000,5.1,2 55,11 x 42 x 65,C1-vrmgtcixyvlg,1691193600000,Paid,2,5587.0,7-mp1jb
694,AU,1688688000000,Delivered,17957,5726,744,1688860800000,1688169600000,Australia,cbc-aoidu-5ym8pz,1688688000000,199.6,49 9,11 x 44 x 139,A1-5kviciks6iea,1688256000000,Paid,1,5726.0,6-rjejy
195,US,1698278400000,Delivered,71305,5227,566,1698710400000,1697414400000,North America,cbc-onb2v-dgclve,1697846400000,14.94,7 47,11 x 47 x 70,C1-yvfxlbt8jejx,1697500800000,Paid,2,5227.0,1-wvsea
498,GB,1683331200000,Delivered,29259,5530,766,1683417600000,1682899200000,Europe,cbc-ggvc1-fhqqcg,1683158400000,8.64,2 16,11 x 49 x 131,C1-fkbonrztz7b1,1682899200000,Paid,1,5530.0,3-0im5l
772,GB,1679270400000,Delivered,93692,5804,472,1679443200000,1679011200000,Europe,cad-ez5lj-duf8i1,1679011200000,69.56,17 39,11 x 49 x 148,C1-yvfxlbt8jejx,1679011200000,Paid,1,5804.0,5-x8two
972,JP,1677628800000,Delivered,40482,6004,592,1677801600000,1676246400000,Asia,cbc-ggvc1-fhqqcg,1676332800000,16.28,8 14,11 x 49 x 95,B1-wjpqfe6aph9u,1676246400000,Paid,2,6004.0,5-34ifh
82,US,1684022400000,Delivered,78521,5114,281,1684281600000,1681344000000,North America,cdc-hepvx-1dw664,1681603200000,91.8,45 9,11 x 8 x 137,A1-ovsgpq4lbpmg,1681344000000,Paid,2,5114.0,2-zedm4
212,JP,1676419200000,Delivered,81723,5244,649,1676505600000,1675900800000,Asia,ccc-uvaqf-uvfrlv,1676160000000,175.8,43 95,11 x 8 x 54,C1-tsvhxparqaho,1675900800000,Paid,1,5244.0,8-uegg2
822,JP,1682208000000,Delivered,51245,5854,826,1682380800000,1681948800000,Asia,cbc-tx60s-1btiiy,1682294400000,92.06,46 03,12 x 11 x 50,C1-avhjytwlvrgd,1682035200000,Paid,2,5854.0,8-kjxik
734,AU,1691884800000,Delivered,38732,5766,472,1692057600000,1691193600000,Australia,cad-xz5lb-60veqc,1691366400000,23.52,11 76,12 x 11 x 54,C1-yd5vmtol8ngh,1691280000000,Paid,2,5766.0,5-x8two
